Código: 5776 | Descrição: MOE - Alvenarias e Vedações / Alvenaria de Vedação em Blocos Cerâmicos | Unidade: m2 | Preço unitário: 0 | Data do preço: 14/05/2024 | Ativo: Sim
Código: 6103 | Descrição: MOE - Alvenarias e Vedações / Alvenaria de Vedação em Blocos Cerâmicos / incluso Vergas e Contravergas (com Desconto de Vãos) | Unidade: m2 | Preço unitário: 40 | Data do preço: 14/05/2024 | Ativo: Sim
Código: 5777 | Descrição: MOE - Alvenarias e Vedações / Alvenaria de Vedação em Blocos Cerâmicos / incluso Vergas e Contravergas (sem Desconto de Vãos) | Unidade: m2 | Preço unitário: 0 | Data do preço: 14/05/2024 | Ativo: Sim
Código: 5778 | Descrição: MOE - Alvenarias e Vedações / Alvenaria de Vedação em Blocos Cerâmicos / Muros | Unidade: m2 | Preço unitário: 100 | Data do preço: 14/05/2024 | Ativo: Sim
Código: 5779 | Descrição: MOE - Alvenarias e Vedações / Alvenaria de Vedação em Blocos de Concreto | Unidade: m2 | Preço unitário: 0 | Data do preço: 14/05/2024 | Ativo: Sim
Código: 5780 | Descrição: MOE - Alvenarias e Vedações / Alvenaria de Vedação em Blocos de Concreto / incluso Grauteamento | Unidade: m2 | Preço unitário: 0 | Data do preço: 14/05/2024 | Ativo: Sim
Código: 5781 | Descrição: MOE - Alvenarias e Vedações / Alvenaria de Vedação em Blocos de Concreto / incluso Grauteamento, Vergas e Contravergas | Unidade: m2 | Preço unitário: 0 | Data do preço: 14/05/2024 | Ativo: Sim
Código: 6104 | Descrição: MOE - Alvenarias e Vedações / Alvenaria de Vedação em Blocos de Concreto / incluso Vergas e Contravergas (com Desconto de Vãos) | Unidade: m2 | Preço unitário: 40 | Data do preço: 14/05/2024 | Ativo: Sim
Código: 5782 | Descrição: MOE - Alvenarias e Vedações / Alvenaria de Vedação em Blocos de Concreto / incluso Vergas e Contravergas (sem Desconto de Vãos) | Unidade: m2 | Preço unitário: 0 | Data do preço: 14/05/2024 | Ativo: Sim
Código: 5783 | Descrição: MOE - Alvenarias e Vedações / Alvenaria de Vedação em Blocos de Concreto / Muros | Unidade: m2 | Preço unitário: 100 | Data do preço: 14/05/2024 | Ativo: Sim
Código: 5784 | Descrição: MOE - Alvenarias e Vedações / Alvenaria Estrutural em Blocos Cerâmicos | Unidade: m2 | Preço unitário: 0 | Data do preço: 14/05/2024 | Ativo: Sim
Código: 5785 | Descrição: MOE - Alvenarias e Vedações / Alvenaria Estrutural em Blocos Cerâmicos / incluso Grauteamento, Vergas e Contravergas | Unidade: m2 | Preço unitário: 0 | Data do preço: 14/05/2024 | Ativo: Sim
Código: 6078 | Descrição: MOE - Alvenarias e Vedações / Alvenaria Estrutural e Vedação | Unidade: m2 | Preço unitário: 0 | Data do preço: 14/05/2024 | Ativo: Sim
Código: 5786 | Descrição: MOE - Alvenarias e Vedações / Churrasqueiras | Unidade: un | Preço unitário: 149.7 | Data do preço: 14/05/2024 | Ativo: Sim
Código: 5787 | Descrição: MOE - Alvenarias e Vedações / Encunhamento | Unidade: m | Preço unitário: 3.95 | Data do preço: 14/05/2024 | Ativo: Sim
Código: 5788 | Descrição: MOE - Alvenarias e Vedações / Marcação de Alvenaria | Unidade: m | Preço unitário: 20.5 | Data do preço: 14/05/2024 | Ativo: Sim
Código: 5789 | Descrição: MOE - Alvenarias e Vedações / Mochetas/Shafts (Aptos) | Unidade: un | Preço unitário: 120 | Data do preço: 14/05/2024 | Ativo: Sim
Código: 6135 | Descrição: MOE - Alvenarias e Vedações / Mochetas/Shafts (Circulação) | Unidade: un | Preço unitário: 1000 | Data do preço: 14/05/2024 | Ativo: Sim
