idx_entrada;entrada_descricao;entrada_unidade;codigo_sugerido;descricao_catalogo;unidade_catalogo;score
27;Tubo de PVC Rígido Branco, conforme NBR5688, Linha Série Normal;;2932;Bracadeira para Tubo PVC Soldavel - 25 mm;un;0.799
45;Tubo Série Reforçada (Série R) de PVC Rígido para Esgoto e Água Pluviais, conforme NBR-5688;;5415;Tubo PVC, Serie Reforcada - 75 mm;m;0.7766
54;Tubo Série Reforçada (Série R) de PVC Rígido para Esgoto e Água Pluviais, conforme NBR-5688;;5415;Tubo PVC, Serie Reforcada - 75 mm;m;0.7783
61;Tubo Série Reforçada (Série R) de PVC Rígido para Esgoto e Água Pluviais, conforme NBR-5688;;5415;Tubo PVC, Serie Reforcada - 75 mm;m;0.783
62;Tubo Série Reforçada (Série R) de PVC Rígido para Esgoto e Água Pluviais, conforme NBR-5688;;5415;Tubo PVC, Serie Reforcada - 75 mm;m;0.7847
67;Tubo Série Reforçada (Série R) de PVC Rígido para Esgoto e Água Pluviais, conforme NBR-5688;;5415;Tubo PVC, Serie Reforcada - 75 mm;m;0.783
68;Tubo Série Reforçada (Série R) de PVC Rígido para Esgoto e Água Pluviais, conforme NBR-5688;;5415;Tubo PVC, Serie Reforcada - 75 mm;m;0.7827
73;Tubo Série Reforçada (Série R) de PVC Rígido para Esgoto e Água Pluviais, conforme NBR-5688;;5415;Tubo PVC, Serie Reforcada - 75 mm;m;0.7849
82;Tubo Série Reforçada (Série R) de PVC Rígido para Esgoto e Água Pluviais, conforme NBR-5688;;5402;Tubo PVC Soldavel - 60 mm;m;0.7746
83;Tubo Série Reforçada (Série R) de PVC Rígido para Esgoto e Água Pluviais, conforme NBR-5688;;5415;Tubo PVC, Serie Reforcada - 75 mm;m;0.7854
84;Tubo Série Reforçada (Série R) de PVC Rígido para Esgoto e Água Pluviais, conforme NBR-5688;;5415;Tubo PVC, Serie Reforcada - 75 mm;m;0.7788
89;Tubo CPVC rígido, cor branca, linha Aquatherm - Tigre;;5350;Tubo CPVC Aquatherm - 42 mm;m;0.7016
90;Tubo CPVC rígido, cor branca, linha Aquatherm - Tigre;;5349;Tubo CPVC Aquatherm - 35 mm;m;0.711
94;Tubo Série Reforçada (Série R) de PVC Rígido para Esgoto e Água Pluviais, conforme NBR-5688;;5415;Tubo PVC, Serie Reforcada - 75 mm;m;0.7837
98;Tubo Série Reforçada (Série R) de PVC Rígido para Esgoto e Água Pluviais, conforme NBR-5688;;5415;Tubo PVC, Serie Reforcada - 75 mm;m;0.7849
103;Tubo Série Reforçada (Série R) de PVC Rígido para Esgoto e Água Pluviais, conforme NBR-5688;;5415;Tubo PVC, Serie Reforcada - 75 mm;m;0.7823
112;Tubo Série Reforçada (Série R) de PVC Rígido para Esgoto e Água Pluviais, conforme NBR-5688;;5415;Tubo PVC, Serie Reforcada - 75 mm;m;0.7785
113;Tubo Série Reforçada (Série R) de PVC Rígido para Esgoto e Água Pluviais, conforme NBR-5688;;5415;Tubo PVC, Serie Reforcada - 75 mm;m;0.7765
114;Tubo Série Reforçada (Série R) de PVC Rígido para Esgoto e Água Pluviais, conforme NBR-5688;;5415;Tubo PVC, Serie Reforcada - 75 mm;m;0.78
119;Tubo CPVC rígido, cor branca, linha Aquatherm - Tigre;;5350;Tubo CPVC Aquatherm - 42 mm;m;0.7006
120;Tubo CPVC rígido, cor branca, linha Aquatherm - Tigre;;5349;Tubo CPVC Aquatherm - 35 mm;m;0.711
124;Tubo Série Reforçada (Série R) de PVC Rígido para Esgoto e Água Pluviais, conforme NBR-5688;;5415;Tubo PVC, Serie Reforcada - 75 mm;m;0.7861
128;Tubo Série Reforçada (Série R) de PVC Rígido para Esgoto e Água Pluviais, conforme NBR-5688;;5415;Tubo PVC, Serie Reforcada - 75 mm;m;0.7801
133;Tubo Série Reforçada (Série R) de PVC Rígido para Esgoto e Água Pluviais, conforme NBR-5688;;5415;Tubo PVC, Serie Reforcada - 75 mm;m;0.7808
142;Tubo Série Reforçada (Série R) de PVC Rígido para Esgoto e Água Pluviais, conforme NBR-5688;;5415;Tubo PVC, Serie Reforcada - 75 mm;m;0.7785
143;Tubo Série Reforçada (Série R) de PVC Rígido para Esgoto e Água Pluviais, conforme NBR-5688;;5415;Tubo PVC, Serie Reforcada - 75 mm;m;0.7876
144;Tubo Série Reforçada (Série R) de PVC Rígido para Esgoto e Água Pluviais, conforme NBR-5688;;5415;Tubo PVC, Serie Reforcada - 75 mm;m;0.7827
149;Tubo CPVC rígido, cor branca, linha Aquatherm - Tigre;;5350;Tubo CPVC Aquatherm - 42 mm;m;0.701
150;Tubo CPVC rígido, cor branca, linha Aquatherm - Tigre;;5349;Tubo CPVC Aquatherm - 35 mm;m;0.711
154;Tubo Série Reforçada (Série R) de PVC Rígido para Esgoto e Água Pluviais, conforme NBR-5688;;5415;Tubo PVC, Serie Reforcada - 75 mm;m;0.7847
159;Tubo Série Reforçada (Série R) de PVC Rígido para Esgoto e Água Pluviais, conforme NBR-5688;;5415;Tubo PVC, Serie Reforcada - 75 mm;m;0.7884
172;Tubo Série Reforçada (Série R) de PVC Rígido para Esgoto e Água Pluviais, conforme NBR-5688;;5415;Tubo PVC, Serie Reforcada - 75 mm;m;0.7831
